Alessandro do Nascimento Vargas ,Faixa A ,Universidade Tecnológica Federal do Paraná ,PR ,UTFPR ,SU
Alessandro dos Santos Farias ,Faixa A ,Universidade Estadual de Campinas ,SP ,UNICAMP ,SE
Alessandro Eleutério de Oliveira ,Faixa A ,"Instituto Federal de Educação, Ciência e Tecnologia ",AM ,IFAM ,NO
Alessandro Francisco Martins ,Faixa A ,Universidade Tecnológica Federal do Paraná ,PR ,UTFPR ,SU
Alessandro Gomes Enoque ,Faixa A ,Universidade Federal de Uberlândia ,MG ,UFU ,SE
Alessandro Henrique Poersch Rolim de Moura ,Faixa A ,Universidade Federal do Paraná ,PR ,UFPR ,SU
Alessandro Santana Martins ,Faixa A ,Instituto Federal do Triângulo Mineiro ,MG ,IFTM ,SE
Aletheia Ferreira da Cruz ,Faixa A ,Universidade Federal de Goiás ,GO ,UFG ,CO
Alex Alexandre Mengel ,Faixa A ,Universidade Federal do Rio Grande do Sul ,RS ,UFRGS ,SU
Alex Aparecido Ferreira ,Faixa A ,Universidade Federal de Viçosa ,MG ,UFV ,SE
Alex Giuliano Vailati ,Faixa A ,Universidade Federal de Pernambuco ,PE ,UFPE ,NE
Alex Sandro Rolland de Souza ,Faixa A ,Instituto de Medicina Integral Professor Fernando Fi ,PE ,IMIP ,NE
Alexandra Lima da Silva ,Faixa A ,Universidade do Estado do Rio de Janeiro ,RJ ,UERJ ,SE
Alexandra Pretto ,Faixa A ,Universidade Federal do Pampa ,RS ,UNIPAMPA ,SU
Alexandre Alberto Tonin ,Faixa A ,Universidade do Oeste de Santa Catarina ,SC ,UNOESC ,SU
Alexandre Bonatto ,Faixa A ,Universidade Federal do Pampa ,RS ,UNIPAMPA ,SU
Alexandre Dias Porto Chiavegatto Filho ,Faixa A ,Universidade de São Paulo ,SP ,USP ,SE
Alexandre Fonseca ,Faixa A ,Universidade de Brasília ,DF ,UnB ,CO
Alexandre Liparini Campos ,Faixa A ,Universidade Federal de Sergipe ,SE ,UFS ,NE
Alexandre Melo Bailão ,Faixa A ,Universidade Federal de Goiás ,GO ,UFG ,CO
Alexandre Nizio Maria ,Faixa A ,Empresa Brasileira de Pesquisa Agropecuária ,DF ,EMBRAPA ,CO
Alexandre Oliveira de Almeida ,Faixa A ,Universidade Federal de Pernambuco ,PE ,UFPE ,NE
Alexandre Orsato ,Faixa A ,Universidade Estadual de Londrina ,PR ,UEL ,SU
Alexandre Paulo Machado ,Faixa A ,Universidade Federal de Mato Grosso ,MT ,UFMT ,CO
Alexandre Rocha Paschoal ,Faixa A ,Universidade Federal do Ceará ,CE ,UFC ,NE
Alexandre Santos Brandão ,Faixa A ,Universidade Federal de Viçosa ,MG ,UFV ,SE
Alexandre Silva dos Santos Filho ,Faixa A ,Universidade Federal do Sul e Sudeste do Pará ,PA ,UNIFESSPA ,NO
Alexandre Swarowsky ,Faixa A ,Centro Universitário Franciscano ,RS ,UNIFRA ,SU
Alexandre Vieira Werneck ,Faixa A ,Universidade Federal do Rio de Janeiro ,RJ ,UFRJ ,SE
Alexandre Xavier Martins ,Faixa A ,Universidade Federal de Ouro Preto ,MG ,UFOP ,SE
Alexandro Cezar Florentino ,Faixa A ,Universidade Federal do Amapá ,AP ,UNIFAP ,NO
Alexsandro da Silva ,Faixa A ,Universidade Federal de Pernambuco ,PE ,UFPE ,NE
Alexsandro Luiz de Andrade ,Faixa A ,Universidade Federal do Espírito Santo ,ES ,UFES ,SE
